add-yield-c,2,10,40,194100,4852,0
add-c,2,10,40,185800,4645,0
add-yield-m,2,20,80,199000,2487,0
add-m,2,20,80,223100,2788,0
add-yield-c,2,20,80,155800,1947,0
add-c,2,20,80,165100,2063,0
add-yield-m,2,40,160,295500,1846,0
add-m,2,40,160,169500,1059,0
add-yield-c,2,40,160,206600,1291,0
add-c,2,40,160,168300,1051,0
add-yield-m,2,80,320,491500,1535,0
add-m,2,80,320,161100,503,0
add-yield-c,2,80,320,165700,517,0
add-c,2,80,320,188400,588,0
add-yield-m,2,100,400,507400,1268,0
add-m,2,100,400,223700,559,0
add-yield-c,2,100,400,174600,436,0
add-c,2,100,400,178800,447,0
add-yield-m,2,1000,4000,4412600,1103,0
add-m,2,1000,4000,202300,50,0
add-yield-c,2,1000,4000,201900,50,0
add-c,2,1000,4000,169800,42,0
add-yield-m,2,10000,40000,43312500,1082,0
add-m,2,10000,40000,1765400,44,0
add-yield-c,2,10000,40000,1518100,37,0
add-c,2,10000,40000,1821600,45,0
add-yield-m,4,10,80,317100,3963,0
add-m,4,10,80,251600,3145,0
add-yield-c,4,10,80,276700,3458,0
add-c,4,10,80,280200,3502,0
add-yield-m,4,20,160,265100,1656,0
add-m,4,20,160,327200,2045,0
add-yield-c,4,20,160,269700,1685,0
add-c,4,20,160,266000,1662,0
add-yield-m,4,40,320,420800,1315,0
add-m,4,40,320,271000,846,0
add-yield-c,4,40,320,292300,913,0
add-c,4,40,320,276200,863,0
add-yield-m,4,80,640,871600,1361,0
add-m,4,80,640,292700,457,0
add-yield-c,4,80,640,292500,457,0
add-c,4,80,640,303300,473,0
add-yield-m,4,100,800,1049100,1311,0
add-m,4,100,800,325500,406,0
add-yield-c,4,100,800,290000,362,0
add-c,4,100,800,260300,325,0
add-yield-m,4,1000,8000,10623400,1327,0
add-m,4,1000,8000,453500,56,0
add-yield-c,4,1000,8000,312600,39,0
add-c,4,1000,8000,314000,39,0
add-yield-m,4,10000,80000,105144600,1314,0
add-m,4,10000,80000,3480500,43,0
add-yield-c,4,10000,80000,5454400,68,0
add-c,4,10000,80000,5800600,72,0
add-yield-m,8,10,160,625400,3908,0
add-m,8,10,160,567100,3544,0
add-yield-c,8,10,160,565600,3535,0
add-c,8,10,160,546300,3414,0
add-yield-m,8,20,320,643000,2009,0
add-m,8,20,320,620100,1937,0
add-yield-c,8,20,320,577100,1803,0
add-c,8,20,320,572000,1787,0
add-yield-m,8,40,640,1114200,1740,0
add-m,8,40,640,544200,850,0
add-yield-c,8,40,640,631500,986,0
add-c,8,40,640,576800,901,0
add-yield-m,8,80,1280,2021400,1579,0
add-m,8,80,1280,582700,455,0
add-yield-c,8,80,1280,555100,433,0
add-c,8,80,1280,586500,458,0
add-yield-m,8,100,1600,2749400,1718,0
add-m,8,100,1600,614200,383,0
add-yield-c,8,100,1600,588600,367,0
add-c,8,100,1600,550600,344,0
add-yield-m,8,1000,16000,25618700,1601,0
add-m,8,1000,16000,633200,39,0
add-yield-c,8,1000,16000,626000,39,0
add-c,8,1000,16000,591500,36,0
add-yield-m,8,10000,160000,249090500,1556,0
add-m,8,10000,160000,9882800,61,0
add-yield-c,8,10000,160000,13929300,87,0
add-c,8,10000,160000,14531800,90,0
add-yield-m,12,10,240,942100,3925,0
add-m,12,10,240,866900,3612,0
add-yield-c,12,10,240,935600,3898,0
add-c,12,10,240,921900,3841,0
add-yield-m,12,20,480,896200,1867,0
add-m,12,20,480,1015800,2116,0
add-yield-c,12,20,480,850000,1770,0
add-c,12,20,480,847200,1765,0
add-yield-m,12,40,960,2168900,2259,0
